pixels,widths,hights
10974,93,118
7426,79,94
10800,90,120
11160,93,120
7426,79,94
11070,90,123
35685,183,195
11280,94,120
7600,80,95
12032,94,128
8112,78,104
10764,92,117
7680,80,96
11904,93,128
7220,76,95
10260,90,114
7505,79,95
11592,92,126
26026,154,169
10260,90,114
6512,74,88
23616,144,164
10465,91,115
5148,66,78
22032,136,162
10374,91,114
4464,62,72
10947,89,123
16330,115,142
10170,90,113
4200,60,70
10614,87,122
12740,98,130
9879,89,111
4736,64,74
10527,87,121
12255,95,129
8184,88,93
10010,91,110
10912,88,124
11648,91,128
10528,94,112
10701,87,123
10875,87,125
10640,95,112
8316,77,108
11136,87,128
10752,96,112
9153,81,113
13020,93,140
10656,96,111
7373,73,101
14304,96,149
10152,94,108
14841,97,153
9870,94,105
14630,95,154
9672,93,104
6776,77,88
14725,95,155
10584,98,108
7614,81,94
14664,94,156
8544,89,96
8051,83,97
17646,102,173
8277,89,93
7826,86,91
8858,86,103
18795,105,179
7917,87,91
18720,104,180
7743,87,89
17776,101,176
7832,88,89
17978,101,178
7832,88,89
7680,80,96
21780,110,198
8190,90,91
7347,79,93
22422,111,202
8372,92,91
7426,79,94
18768,102,184
8742,94,93
14560,91,160
9120,96,95
16856,98,172
9408,98,96
16929,99,171
8366,89,94
9603,99,97
13083,89,147
10816,104,104
12768,112,114
12430,110,113
11445,105,109
10710,102,105
10605,101,105
10807,101,107
6278,73,86
10600,100,106
5293,67,79
13786,113,122
4950,66,75
8366,89,94
15480,120,129
4608,64,72
16226,122,133
5168,68,76
16875,125,135
5538,71,78
16616,124,134
5616,72,78
16616,124,134
5538,71,78
16884,126,134
5616,72,78
8019,99,81
5320,70,76
8200,100,82
5320,70,76
7938,98,81
5320,70,76
5320,70,76
8277,89,93
8217,99,83
8961,103,87
18281,101,181
17145,127,135
8670,102,85
18382,101,182
8874,102,87
18382,101,182
8787,101,87
18382,101,182
8245,97,85
18000,100,180
17018,127,134
8330,98,85
18281,101,181
17544,129,136
7533,93,81
18382,101,182
7802,94,83
18382,101,182
7980,95,84
18382,101,182
8096,88,92
7802,94,83
18564,102,182
8064,96,84
18382,101,182
7885,95,83
18382,101,182
7885,95,83
18483,101,183
7980,95,84
18382,101,182
7896,94,84
18382,101,182
11865,105,113
8075,95,85
18382,101,182
12402,106,117
8075,95,85
18281,101,181
11960,104,115
7896,94,84
18000,100,180
11730,102,115
7802,94,83
17800,100,178
8455,89,95
11752,104,113
7719,93,83
17721,99,179
12980,110,118
7802,94,83
17900,100,179
12870,110,117
7719,93,83
18079,101,179
12980,110,118
7544,92,82
17700,100,177
13328,112,119
7544,92,82
13440,112,120
7636,92,83
13328,112,119
7636,92,83
13328,112,119
7719,93,83
13209,111,119
7812,93,84
13209,111,119
7544,92,82
14688,108,136
8640,90,96
12980,110,118
